Set,Series,Item,Pieces,Age,Price,Status,Date Built,URL
NASA Artemis Space Launch System,Icons,10341,3601,18+,,backlog,,https://www.lego.com/en-ca/product/nasa-artemis-space-launch-system-10341
Dune Atreides Royal Ornithopter,Icons,10327,1369,18+,,"backlog	",,https://www.lego.com/en-ca/product/dune-atreides-royal-ornithopter-10327
BD-1,Star Wars,75335,1062,14+,,built,2024-07-01,https://www.lego.com/en-ca/product/bd-1-75335
NASA Mars Rover Perseverance,Technic,42158,1132,10+,,built,2024-07-06,https://www.lego.com/en-ca/product/nasa-mars-rover-perseverance-42158
NASA Apollo 11 Lunar Lander,Creator Expert,10266,1087,16+,,backlog,,https://www.lego.com/en-ca/product/nasa-apollo-11-lunar-lander-10266
Modular Space Station,City,60433,1097,7+,$140,wishlist,,https://www.lego.com/en-ca/product/modular-space-station-60433
Luke Skywalker's Landspeeder,Star Wars,75341,1890,18+,$300,wishlist,,https://www.lego.com/en-ca/product/luke-skywalker-s-landspeeder-75341
International Space Station,Ideas,21321,864,16+,$100,wishlist,,https://www.lego.com/en-ca/product/international-space-station-21321
Mars Crew Exploration Rover,Technic,42180,1599,11+,$200,wishlist,,https://www.lego.com/en-ca/product/mars-crew-exploration-rover-42180
Concorde,Icons,10318,2083,18+,$260,wishlist,,https://www.lego.com/en-ca/product/concorde-10318
BB-8,Star Wars,75187,1106,10+,$200,wishlist,,https://www.lego.com/en-ca/product/bb-8-75187
Back to the Future Time Machine,Icons,10300,1872,18+,$250,wishlist,,https://www.lego.com/en-ca/product/back-to-the-future-time-machine-10300
Command Rover and Crane Loader,City,60432,758,7+,$110,wishlist,,https://www.lego.com/en-ca/product/command-rover-and-crane-loader-60432
NASA Apollo Saturn V,Ideas,92176,1969,14+,$170,wishlist,,https://www.lego.com/en-ca/product/lego-nasa-apollo-saturn-v-92176
NASA Apollo Lunar Roving Vehicle,Technic,42182,1913,18+,$290,wishlist,,https://www.lego.com/en-ca/product/nasa-apollo-lunar-roving-vehicle-lrv-42182
Tantive IV,Star Wars,75244,1768,12+,$350,wishlist,,https://www.lego.com/en-ca/product/tantive-iv-75244
Space Base and Rocket Launchpad,City,60434,1422,8+,$180,wishlist,,https://www.lego.com/en-ca/product/space-base-and-rocket-launchpad-60434
Surface Space Loader LT78,Technic,42178,435,8+,$45,wishlist,,https://www.lego.com/en-ca/product/surface-space-loader-lt78-42178
Space Astronaut,Creator Expert,31152,647,9+,$70,wishlist,,https://www.lego.com/en-ca/product/space-astronaut-31152
Rocket Launch Center,City,60351,1010,7+,$150,wishlist,,https://www.lego.com/en-ca/product/rocket-launch-centre-60351
R2-D2,Star Wars,75308,2314,18+,$300,wishlist,,https://www.lego.com/en-ca/product/r2-d2-75308
NASA Space Shuttle Discovery,Icons,10283,2354,18+,,backlog,,https://www.lego.com/en-ca/product/nasa-space-shuttle-discovery-10283
Planet Earth and Moon in Orbit,Technic,42179,526,10+,$100,wishlist,,https://www.lego.com/en-ca/product/planet-earth-and-moon-in-orbit-42179
X-Wing Starfighter,Star Wars,75355,1953,18+,$320,wishlist,,https://www.lego.com/en-ca/product/x-wing-starfighter-75355
VTOL Heavy Cargo Starfighter LT81,Technic,42181,1365,10+,$140,wishlist,,https://www.lego.com/en-ca/product/vtol-heavy-cargo-spaceship-lt81-42181
